XAUUSD Historical Data
Date,Open,High,Low,Close,Change(Pips),Change(%)
11/07/2024 08:00,2662.81,2668.22,2657.43,2666.46,365,0.14,
11/07/2024 04:00,2660.05,2667.41,2653.14,2663.68,363,0.14,
11/07/2024 00:00,2663.12,2664.06,2646.56,2659.39,-373,-0.14,
11/06/2024 20:00,2667.37,2667.37,2658.09,2663.72,-365,-0.14,
11/06/2024 16:00,2676.03,2677.42,2661.66,2666.85,-918,-0.34,
11/06/2024 12:00,2698.62,2707.36,2652.51,2674.64,-2398,-0.90,
11/06/2024 08:00,2726.29,2733.06,2697.49,2699.33,-2696,-1.00,
11/06/2024 04:00,2733.65,2743.24,2702.07,2725.52,-813,-0.30,
11/06/2024 00:00,2745.08,2749.31,2731.65,2734.02,-1106,-0.40,
11/05/2024 20:00,2739.94,2746.06,2739.61,2745.51,557,0.20,
11/05/2024 16:00,2742.48,2744.31,2736.5,2740.71,-177,-0.06,
11/05/2024 12:00,2742.56,2749.7,2733.29,2742.07,-49,-0.02,
11/05/2024 08:00,2735.51,2744.84,2732.18,2742.1,659,0.24,
11/05/2024 04:00,2735.28,2741.15,2731.72,2736.25,97,0.04,
11/05/2024 00:00,2733.51,2736.06,2724.93,2735.24,173,0.06,
11/04/2024 20:00,2737.37,2738.26,2734.8,2736.34,-103,-0.04,
11/04/2024 16:00,2738.16,2739.49,2732.21,2738.22,6,0.00,
11/04/2024 12:00,2740.76,2745.91,2737.87,2738.0,-276,-0.10,
11/04/2024 08:00,2735.38,2745.0,2732.15,2740.65,527,0.19,
11/04/2024 04:00,2740.59,2744.56,2735.08,2736.01,-458,-0.17,
11/04/2024 00:00,2738.69,2742.28,2735.2,2740.89,220,0.08,
11/03/2024 20:00,2735.08,2740.18,2730.91,2738.2,312,0.11,
11/01/2024 20:00,2734.42,2736.25,2733.29,2735.91,149,0.05,
11/01/2024 16:00,2744.34,2745.94,2733.2,2734.46,-988,-0.36,
11/01/2024 12:00,2753.14,2761.49,2740.09,2744.64,-850,-0.31,
11/01/2024 08:00,2749.07,2755.16,2744.86,2752.7,363,0.13,
11/01/2024 04:00,2751.71,2757.31,2747.16,2749.57,-214,-0.08,
11/01/2024 00:00,2746.81,2751.71,2744.1,2751.71,490,0.18,
